18900000,1703959535
18900001,1703959547
18900002,1703959559
18900003,1703959571
18900004,1703959583
18900005,1703959595
18900006,1703959607
18900007,1703959619
18900008,1703959631
18900009,1703959643
18900010,1703959655
18900011,1703959667
18900012,1703959679
18900013,1703959691
18900014,1703959703
18900015,1703959715
18900016,1703959727
18900017,1703959739
18900018,1703959751
18900019,1703959763
18900020,1703959775
18900021,1703959787
18900022,1703959799
18900023,1703959811
18900024,1703959823
18900025,1703959835
18900026,1703959847
18900027,1703959859
18900028,1703959871
18900029,1703959883
18900030,1703959895
18900031,1703959907
18900032,1703959919
18900033,1703959931
18900034,1703959943
18900035,1703959955
18900036,1703959967
18900037,1703959979
18900038,1703959991
18900039,1703960003
18900040,1703960015
18900041,1703960027
18900042,1703960039
18900043,1703960051
18900044,1703960063
18900045,1703960075
18900046,1703960087
18900047,1703960099
18900048,1703960111
18900049,1703960123
18900050,1703960135
18900051,1703960147
18900052,1703960159
18900053,1703960171
18900054,1703960183
18900055,1703960195
18900056,1703960207
18900057,1703960219
18900058,1703960231
18900059,1703960243
18900060,1703960255
18900061,1703960267
18900062,1703960279
18900063,1703960291
18900064,1703960303
18900065,1703960315
18900066,1703960327
18900067,1703960339
18900068,1703960351
18900069,1703960363
18900070,1703960375
18900071,1703960387
18900072,1703960399
18900073,1703960411
18900074,1703960423
18900075,1703960435
18900076,1703960447
18900077,1703960459
18900078,1703960471
18900079,1703960483
18900080,1703960495
18900081,1703960507
18900082,1703960519
18900083,1703960531
18900084,1703960543
18900085,1703960555
18900086,1703960567
18900087,1703960579
18900088,1703960591
18900089,1703960603
18900090,1703960615
18900091,1703960627
18900092,1703960639
18900093,1703960651
18900094,1703960663
18900095,1703960675
18900096,1703960687
18900097,1703960699
18900098,1703960711
18900099,1703960723
18900100,1703960735
18900101,1703960747
18900102,1703960759
18900103,1703960771
18900104,1703960783
18900105,1703960795
18900106,1703960807
18900107,1703960819
18900108,1703960831
18900109,1703960843
18900110,1703960855
18900111,1703960867
18900112,1703960879
18900113,1703960891
18900114,1703960903
18900115,1703960915
18900116,1703960927
18900117,1703960939
18900118,1703960951
18900119,1703960963
18900120,1703960975
18900121,1703960987
18900122,1703960999
18900123,1703961011
18900124,1703961023
18900125,1703961035
18900126,1703961047
18900127,1703961059
18900128,1703961071
18900129,1703961083
18900130,1703961095
18900131,1703961107
18900132,1703961119
18900133,1703961131
18900134,1703961143
